County Name,"With a disability, under age 65 years","Persons without health insurance, under age 65 years","In civilian labor force, total of population age 16 years+","In civilian labor force, female of population age 16 years+","Total retail sales per capita, 2017","Mean travel time to work (minutes), workers age 16 years+",Median household income (in 2021 dollars),Per capita income in past 12 months (in 2021 dollars),Persons in poverty,"Total employer establishments, 2020","Total employment, 2020","Total annual payroll, 2020 ($1,000)","Population per square mile, 2020","Land area in square miles, 2020",Banned or not
Adams County Ohio,4434.26,2588.95,14184.13,14018.88,9461,36.1,44467,24539,5205.44,385,4572,167427,47.1,583.87,0.0
Allen County Ohio,12912.09,8540.28,61917.03,58765.26,16266,19.5,55114,28671,15555.51,2286,45012,1983272,253.9,402.55,1.0
Ashland County Ohio,5179.28,4708.44,32592.87,29663.17,9431,24.2,58168,28992,5702.44,1034,18234,701075,124.0,422.99,0.0
Ashtabula County Ohio,12361.8,9733.7,55190.08,51296.6,10406,25.8,49680,26777,15281.91,1806,24464,913850,139.0,702.07,0.0
Athens County Ohio,8005.22,5833.26,34316.97,33386.13,11148,21.9,47061,24990,12969.7,1029,13265,469095,124.0,503.64,0.0
Auglaize County Ohio,3506.72,3414.43,31052.89,28192.15,10976,19.1,69315,33720,3645.14,975,22072,990028,115.7,401.39,1.0
Belmont County Ohio,7572.64,5136.22,35821.86,33582.99,16540,25.1,54191,28348,10469.99,1354,18059,697203,125.0,532.13,0.0
Brown County Ohio,5283.1,3536.62,24887.34,23621.14,7674,33.6,59766,28658,7335.22,542,5434,163396,89.2,489.54,0.0
Butler County Ohio,32779.66,30048.02,249749.76,234530.63,22001,25.1,72281,34632,45267.14,7292,145687,7053119,836.7,466.52,1.0
Carroll County Ohio,3256.3,2962.7,15240.56,13745.86,7892,28.6,55954,30965,3549.9,453,5447,190081,67.7,394.61,0.0
Champaign County Ohio,4256.89,3095.92,24186.88,22600.22,7976,25.6,62865,30090,4102.09,575,9581,408405,90.2,428.99,0.0
Clark County Ohio,16954.12,10986.27,81244.17,74326.88,10483,22.6,54869,28679,21701.28,2167,38457,1500960,342.7,396.88,0.0
Clermont County Ohio,23479.9,17819.57,137315.51,125575.56,14745,28.0,73013,38260,19915.99,3614,51928,2297661,460.9,452.56,0.0
Clinton County Ohio,5082.48,3570.34,26378.51,25118.39,11436,25.8,57409,29651,5040.48,702,16444,845042,102.8,408.73,0.0
Columbiana County Ohio,12258.51,9725.76,58658.49,55416.57,11913,25.1,51664,28538,16918.77,1909,26679,925485,191.5,531.92,0.0
Coshocton County Ohio,3954.74,4027.98,21165.2,19627.25,9335,24.7,49297,24901,5089.9,609,8121,319800,64.9,563.99,0.0
Crawford County Ohio,5135.74,3757.86,25094.15,22881.19,8634,24.1,48449,27866,5636.79,767,12093,450310,104.6,401.79,1.0
Cuyahoga County Ohio,136183.18,93704.02,792111.36,750881.59,13560,24.0,55109,36321,202400.69,31708,673763,38514352,2766.4,457.21,0.0
Darke County Ohio,4643.73,4850.12,32248.12,29307.1,10016,23.0,57440,29914,5366.09,1136,15710,667993,86.7,598.1,0.0
Defiance County Ohio,3547.39,3165.95,24946.18,22848.26,22199,20.8,65779,32035,3852.54,796,13807,576118,93.1,411.45,0.0
Delaware County Ohio,12140.7,11037.0,155400.96,141935.82,20392,26.0,116284,52397,9050.34,4893,89828,4740171,483.2,443.15,0.0
Erie County Ohio,8233.72,5763.6,46408.24,44387.24,16636,20.8,60149,35100,9431.35,1780,32736,1233289,300.9,251.29,0.0
Fairfield County Ohio,14817.89,12885.12,103242.02,97604.78,12711,28.3,77241,35481,13207.25,2670,36790,1395045,315.1,504.37,0.0
Fayette County Ohio,4538.24,2630.45,16794.39,14857.68,21342,26.0,52964,27586,4711.68,562,9898,366763,71.2,406.36,0.0
Franklin County Ohio,110998.78,125534.33,923668.39,865526.17,19798,22.2,65999,37532,188962.2,29479,672835,37097059,2486.4,532.42,0.0
Fulton County Ohio,4542.15,3650.7,26913.3,24748.35,11930,22.5,65418,31805,3438.45,938,15762,689737,105.3,405.45,0.0
Gallia County Ohio,4373.7,2624.22,15424.58,13733.42,13028,27.8,50773,26484,5248.44,542,9209,362594,62.6,466.53,0.0
Geauga County Ohio,5447.2,9556.5,62212.81,55714.4,16021,28.1,90285,45199,5925.03,2711,29806,1294357,238.3,400.3,0.0
Greene County Ohio,14820.26,11283.6,102562.91,94142.31,15544,21.3,75901,38882,17346.44,3255,55902,2730534,406.1,413.56,0.0
Guernsey County Ohio,4977.31,4020.14,21211.0,19411.51,13621,22.6,48434,26716,5819.62,819,13504,519565,73.6,522.25,0.0
