County Name,"Population Estimates, July 1 2021, (V2021)","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2017-2021","Foreign born persons, percent, 2017-2021","Housing units, July 1, 2021, (V2021)","Owner-occupied housing unit rate, 2017-2021","Median value of owner-occupied housing units, 2017-2021","Median selected monthly owner costs -with a mortgage, 2017-2021","Median selected monthly owner costs -without a mortgage, 2017-2021","Median gross rent, 2017-2021","Building permits, 2021","Households, 2017-2021","Persons per household, 2017-2021","Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","Households with a computer, percent, 2017-2021","Households with a broadband Internet subscription, percent, 2017-2021","High school graduate or higher, percent of persons age 25 years+, 2017-2021","Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","With a disability, under age 65 years, percent, 2017-2021","Persons without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2017-2021","In civilian labor force, female, percent of population age 16 years+, 2017-2021","Total retail sales per capita, 2017","Mean travel time to work (minutes), workers age 16 years+, 2017-2021","Median household income (in 2021 dollars), 2017-2021","Per capita income in past 12 months (in 2021 dollars), 2017-2021","Persons in poverty, percent","Total employer establishments, 2020","Total employment, 2020","Total annual payroll, 2020 ($1,000)","Population per square mile, 2020","Land area in square miles, 2020",Banned or not
Adams County Ohio,27542,1707.6,6665.16,5095.27,13798.54,26660.66,165.25,165.25,82.63,,440.67,302.96,26385.24,1840,192.79,12703,73.2,118300,1159,403,593,25.0,10163,2.68,24760.26,495.76,23713.66,21014.55,23052.65,4406.72,4434.26,2588.95,14184.13,14018.88,9461,36.1,44467,24539,5205.44,385,4572,167427,47.1,583.87,0.0
Allen County Ohio,101670,6100.2,23587.44,18503.94,50021.64,84081.09,12912.09,305.01,915.03,,3456.78,3761.79,81132.66,6098,1830.06,44707,66.9,126900,1126,457,758,226.0,40671,2.42,88046.22,3151.77,92113.02,86724.51,92621.37,19418.97,12912.09,8540.28,61917.03,58765.26,16266,19.5,55114,28671,15555.51,2286,45012,1983272,253.9,402.55,1.0
Ashland County Ohio,52316,2929.7,11666.47,10201.62,26524.21,50484.94,470.84,156.95,418.53,52.32,784.74,837.06,49752.52,3076,784.74,22513,76.5,143100,1124,432,748,61.0,20531,2.46,45148.71,3191.28,46299.66,43317.65,46927.45,11614.15,5179.28,4708.44,32592.87,29663.17,9431,24.2,58168,28992,5702.44,1034,18234,701075,124.0,422.99,0.0
Ashtabula County Ohio,97337,5450.87,21414.14,19467.4,47889.8,90231.4,3796.14,389.35,486.68,97.34,2433.43,4672.18,86240.58,7158,1557.39,46355,71.6,121100,1086,426,735,168.0,38332,2.47,84877.86,6521.58,85948.57,80011.01,84099.17,14697.89,12361.8,9733.7,55190.08,51296.6,10406,25.8,49680,26777,15281.91,1806,24464,913850,139.0,702.07,0.0
Athens County Ohio,62056,2296.07,8998.12,8874.01,31090.06,56657.13,1799.62,248.22,1737.57,62.06,1613.46,1241.12,55726.29,3255,2544.3,26387,59.8,150800,1210,464,840,110.0,22381,2.41,43439.2,3226.91,56222.74,50079.19,56408.9,21161.1,8005.22,5833.26,34316.97,33386.13,11148,21.9,47061,24990,12969.7,1029,13265,469095,124.0,503.64,0.0
Auglaize County Ohio,46141,2814.6,11119.98,8766.79,22978.22,44710.63,322.99,138.42,276.85,46.14,645.97,876.68,43972.37,2616,415.27,20044,76.2,150200,1172,438,762,156.0,18872,2.43,41619.18,922.82,42311.3,39865.82,43234.12,9274.34,3506.72,3414.43,31052.89,28192.15,10976,19.1,69315,33720,3645.14,975,22072,990028,115.7,401.39,1.0
Belmont County Ohio,65849,3094.9,12577.16,14289.23,32002.61,61371.27,2765.66,131.7,329.24,,1185.28,790.19,60712.78,4183,856.04,31575,75.8,116700,1013,416,694,4.0,25388,2.49,60581.08,921.89,55576.56,51889.01,60251.84,10535.84,7572.64,5136.22,35821.86,33582.99,16540,25.1,54191,28348,10469.99,1354,18059,697203,125.0,532.13,0.0
Brown County Ohio,43662,2488.73,9998.6,8208.46,21831.0,42352.14,436.62,130.99,174.65,,611.27,567.61,41915.52,2909,174.65,19454,73.5,141400,1146,438,742,122.0,16968,2.54,38728.19,392.96,37898.62,33969.04,37854.95,6374.65,5283.1,3536.62,24887.34,23621.14,7674,33.6,59766,28658,7335.22,542,5434,163396,89.2,489.54,0.0
Butler County Ohio,390234,22633.57,91314.76,60486.27,197458.4,322723.52,38242.93,1170.7,16780.06,780.47,10536.32,21072.64,305553.22,20165,25755.44,154873,69.6,190500,1481,533,966,941.0,142881,2.64,335601.24,33169.89,366429.73,350430.13,357064.11,124094.41,32779.66,30048.02,249749.76,234530.63,22001,25.1,72281,34632,45267.14,7292,145687,7053119,836.7,466.52,1.0
Carroll County Ohio,26691,1387.93,5578.42,5925.4,13158.66,25890.27,213.53,106.76,80.07,,400.36,400.36,25569.98,1863,106.76,13399,76.3,142600,1193,430,715,1.0,11300,2.34,24662.48,1334.55,23648.23,20472.0,23941.83,3763.43,3256.3,2962.7,15240.56,13745.86,7892,28.6,55954,30965,3549.9,453,5447,190081,67.7,394.61,0.0
