County Name,Median value of owner-occupied housing units,Median selected monthly owner costs -with a mortgage,Median selected monthly owner costs -without a mortgage,Median gross rent,"Building permits, 2021",Households,Persons per household,Living in same house 1 year ago of persons age 1 year+,Language other than English spoken at home of persons age 5 years+,Households with a computer,Households with a broadband Internet subscription,High school graduate or higher of persons age 25 years+,Banned or not
Adams County Ohio,118300,1159,403,593,25.0,10163,2.68,24760.26,495.76,23713.66,21014.55,23052.65,0.0
Allen County Ohio,126900,1126,457,758,226.0,40671,2.42,88046.22,3151.77,92113.02,86724.51,92621.37,1.0
Ashland County Ohio,143100,1124,432,748,61.0,20531,2.46,45148.71,3191.28,46299.66,43317.65,46927.45,0.0
Ashtabula County Ohio,121100,1086,426,735,168.0,38332,2.47,84877.86,6521.58,85948.57,80011.01,84099.17,0.0
Athens County Ohio,150800,1210,464,840,110.0,22381,2.41,43439.2,3226.91,56222.74,50079.19,56408.9,0.0
Auglaize County Ohio,150200,1172,438,762,156.0,18872,2.43,41619.18,922.82,42311.3,39865.82,43234.12,1.0
Belmont County Ohio,116700,1013,416,694,4.0,25388,2.49,60581.08,921.89,55576.56,51889.01,60251.84,0.0
Brown County Ohio,141400,1146,438,742,122.0,16968,2.54,38728.19,392.96,37898.62,33969.04,37854.95,0.0
Butler County Ohio,190500,1481,533,966,941.0,142881,2.64,335601.24,33169.89,366429.73,350430.13,357064.11,1.0
Carroll County Ohio,142600,1193,430,715,1.0,11300,2.34,24662.48,1334.55,23648.23,20472.0,23941.83,0.0
Champaign County Ohio,146700,1183,531,779,51.0,15506,2.45,33784.23,425.69,35990.07,33358.54,35293.49,0.0
Clark County Ohio,127400,1111,458,755,199.0,55124,2.41,115559.32,4340.26,124917.99,119085.77,120306.47,0.0
Clermont County Ohio,190600,1443,550,912,1224.0,81785,2.52,184275.32,6498.9,196224.91,187419.95,189726.01,0.0
Clinton County Ohio,149500,1193,465,774,88.0,16548,2.46,36291.46,1092.1,38601.68,36123.44,38307.65,0.0
Columbiana County Ohio,107300,1034,392,664,63.0,41313,2.39,90064.59,2026.2,89659.35,83884.68,90672.45,0.0
Coshocton County Ohio,113800,1000,396,645,5.0,14517,2.49,32480.17,3332.24,30832.36,27902.92,30868.97,0.0
Crawford County Ohio,98600,931,399,695,10.0,18028,2.3,36367.73,1127.36,37829.12,35198.62,37578.6,1.0
Cuyahoga County Ohio,146800,1380,580,875,784.0,551267,2.24,1071974.05,151175.83,1134443.4,1048235.69,1133194.01,0.0
Darke County Ohio,134200,1118,422,682,63.0,20826,2.46,46127.72,773.96,45508.55,42722.32,47108.06,0.0
Defiance County Ohio,131400,1083,460,756,46.0,15075,2.51,33986.3,2021.63,34749.18,32231.68,35130.62,0.0
Delaware County Ohio,336600,2205,833,1202,2359.0,76549,2.73,195134.16,20970.3,216104.46,210806.7,214559.28,0.0
Erie County Ohio,152800,1195,497,814,289.0,31984,2.32,66917.69,2544.97,68414.73,61079.23,68788.99,0.0
Fairfield County Ohio,213500,1539,561,963,875.0,57841,2.67,142380.58,8536.39,150272.71,140931.0,150594.84,0.0
Fayette County Ohio,125000,1090,437,729,33.0,11471,2.49,25552.9,433.59,26131.02,24194.32,24338.85,0.0
Franklin County Ohio,203200,1549,632,1070,6652.0,537109,2.39,1086202.31,187640.79,1257986.13,1201165.33,1209093.81,0.0
Fulton County Ohio,145600,1198,465,768,31.0,16763,2.52,38926.65,1698.0,39181.35,36973.95,39520.95,0.0
Gallia County Ohio,120500,1200,435,718,14.0,11292,2.53,26533.78,1049.69,24171.98,21693.55,24813.46,0.0
Geauga County Ohio,259900,1757,652,895,191.0,35249,2.68,88302.06,11754.5,86295.2,81612.51,86581.89,0.0
Greene County Ohio,190200,1510,582,938,685.0,66279,2.39,141466.08,9936.31,158980.93,152749.68,158307.28,0.0
Guernsey County Ohio,126500,1072,425,731,26.0,16136,2.36,33539.41,1646.34,33615.99,30093.58,32888.53,0.0
Hamilton County Ohio,172800,1460,604,875,1922.0,345878,2.34,696435.18,61134.29,765830.85,730306.88,759221.74,0.0
Hancock County Ohio,157300,1225,480,792,121.0,31164,2.35,64353.47,3882.11,69952.67,65697.28,69728.7,1.0
Hardin County Ohio,114600,1106,408,710,24.0,11557,2.46,25997.23,2143.47,27497.66,25201.08,27712.0,0.0
Harrison County Ohio,101600,962,398,608,,5748,2.5,13521.52,579.08,12059.34,11335.49,12797.67,0.0
Henry County Ohio,138100,1141,481,785,19.0,11040,2.46,25004.5,1156.6,25252.35,24095.75,25775.57,0.0
Highland County Ohio,126200,1092,396,704,71.0,16526,2.58,38628.41,1387.33,37241.09,33556.0,36287.3,0.0
Hocking County Ohio,144000,1180,446,701,12.0,11240,2.47,25680.66,533.84,25483.98,23517.19,24753.46,0.0
Holmes County Ohio,231200,1348,455,700,4.0,13200,3.28,40817.86,21914.14,30414.18,26739.68,25057.39,0.0
Huron County Ohio,133600,1110,452,750,142.0,23288,2.48,52238.46,2217.95,53055.6,48678.08,52530.3,0.0
Jackson County Ohio,111400,1106,421,685,51.0,12361,2.6,29650.03,780.26,28252.06,25716.2,28414.61,0.0
Jefferson County Ohio,102800,1055,429,694,6.0,26776,2.37,58180.52,1295.78,55070.65,52997.4,60059.4,0.0
Knox County Ohio,168700,1267,467,826,351.0,22908,2.57,55412.26,3270.64,57299.17,53651.14,57676.55,1.0
Lake County Ohio,166200,1349,560,952,775.0,98217,2.34,206732.49,19025.89,216013.41,207892.61,215781.39,0.0
Lawrence County Ohio,112200,1090,435,759,16.0,22608,2.56,52045.17,631.9,49862.26,45841.11,51068.6,0.0
Licking County Ohio,195100,1472,527,894,363.0,66342,2.62,157490.07,8118.04,169035.74,162000.1,167412.13,0.0
Logan County Ohio,148600,1167,489,740,126.0,18928,2.41,40787.01,1242.95,42628.41,40418.73,42720.48,1.0
Lorain County Ohio,164600,1368,542,821,1127.0,123500,2.45,282141.93,21144.86,293187.76,260365.88,286875.86,0.0
Lucas County Ohio,127900,1261,499,803,460.0,179358,2.35,367816.69,27468.22,394855.72,369962.64,387130.28,0.0
Madison County Ohio,173400,1372,508,870,89.0,15181,2.55,37772.49,1864.21,40701.96,38793.36,39237.22,0.0
Mahoning County Ohio,114600,1120,438,706,194.0,97293,2.29,200457.61,14059.24,203405.51,191613.89,207260.47,0.0
Marion County Ohio,114800,1074,426,782,49.0,24251,2.47,55693.22,3003.39,59545.39,55627.93,58696.61,0.0
Medina County Ohio,219900,1540,569,958,463.0,71360,2.52,166613.72,7872.96,174852.86,164782.8,174120.49,1.0
Meigs County Ohio,100300,1010,382,639,6.0,8719,2.54,19932.3,264.59,18366.82,15742.99,18763.7,0.0
Mercer County Ohio,169500,1197,473,679,85.0,15923,2.61,37993.48,888.49,38966.59,37697.32,39305.06,0.0
Miami County Ohio,165600,1238,478,832,307.0,43279,2.47,96261.58,4261.3,101615.52,97026.43,101834.05,0.0
Monroe County Ohio,115500,980,366,584,1.0,5565,2.4,12475.94,226.59,11129.72,9943.43,11969.44,0.0
Montgomery County Ohio,133400,1255,515,849,1047.0,226199,2.29,445818.88,33222.08,492972.8,467788.32,487614.4,0.0
Morgan County Ohio,103500,993,361,641,55.0,5629,2.45,12519.03,164.18,11424.47,10165.73,11588.65,0.0
Morrow County Ohio,163300,1307,461,851,150.0,13048,2.65,32198.32,2284.82,32233.47,29737.75,31284.39,0.0
Muskingum County Ohio,132800,1140,411,719,21.0,33970,2.48,75952.63,2160.2,76298.26,72755.54,77594.38,0.0
Noble County Ohio,113500,1044,368,652,25.0,4608,2.58,12517.41,567.04,11340.8,10376.83,12049.6,0.0
Ottawa County Ohio,160500,1284,467,774,172.0,17930,2.21,36614.95,1122.91,36975.89,33326.42,37056.1,0.0
Paulding County Ohio,107700,1030,422,704,29.0,7480,2.51,16965.03,471.78,16700.84,14530.67,16927.29,0.0
Perry County Ohio,136300,1148,439,654,47.0,13071,2.69,32197.68,921.96,31594.86,29077.2,31488.48,0.0
Pickaway County Ohio,185400,1437,525,851,262.0,20706,2.61,50433.05,949.33,54467.69,50373.72,51738.38,0.0
Pike County Ohio,118400,1125,414,760,29.0,10478,2.56,24623.9,460.51,23784.14,20316.75,23052.74,0.0
Portage County Ohio,168500,1382,522,921,427.0,63372,2.43,140460.43,6820.04,150528.11,138511.85,150040.97,0.0
Preble County Ohio,141600,1149,443,754,48.0,16648,2.44,37188.97,735.61,36862.03,34205.68,37352.44,0.0
Putnam County Ohio,158300,1227,445,754,47.0,13158,2.59,32053.01,1407.04,31675.51,29273.25,32464.83,0.0
Richland County Ohio,123900,1100,426,694,115.0,49505,2.37,107417.31,5383.38,111298.36,103285.88,110672.38,0.0
Ross County Ohio,134300,1227,440,784,15.0,29455,2.43,66510.72,1307.15,68971.23,64280.88,68279.21,0.0
Sandusky County Ohio,124700,1101,445,719,52.0,23797,2.43,52843.5,2466.03,52960.93,48850.88,54370.09,0.0
Scioto County Ohio,107600,1130,414,669,4.0,28152,2.52,63957.71,1026.84,62930.87,59043.53,63077.56,0.0
Shelby County Ohio,154500,1227,482,787,75.0,18429,2.6,42603.58,959.54,43994.91,41787.97,42987.39,0.0
Stark County Ohio,146100,1178,449,784,952.0,154426,2.37,327852.42,11962.69,342805.78,315889.73,345048.78,0.0
Trumbull County Ohio,109300,1046,430,707,120.0,84989,2.33,184624.2,9664.08,175564.12,160464.0,179590.82,0.0
Tuscarawas County Ohio,144700,1167,439,796,64.0,37661,2.44,79642.5,7585.0,81955.0,74370.0,81770.0,0.0
Vinton County Ohio,98500,1028,431,646,2.0,5052,2.53,11616.84,330.1,10004.45,8811.02,10182.19,0.0
Warren County Ohio,250300,1723,642,1156,1406.0,86981,2.67,215487.32,22929.43,238416.75,231020.16,233239.14,0.0
Washington County Ohio,146600,1128,414,725,5.0,24435,2.39,51995.12,1485.58,52113.97,47478.98,54312.62,0.0
Wayne County Ohio,164300,1243,474,770,189.0,43964,2.56,101887.83,15055.59,101304.28,95818.91,100487.31,0.0
Williams County Ohio,111500,1044,412,718,31.0,15261,2.36,32750.67,1138.2,32713.96,30914.87,33668.57,0.0
Seneca County Ohio,113000,1049,433,740,48.0,21862,2.38,47823.13,1921.71,49580.12,46011.23,51062.58,1.0
Wood County Ohio,177000,1437,553,845,547.0,53010,2.37,106375.02,6093.71,126113.34,118827.38,125848.4,0.0
Union County Ohio,242400,1696,626,1050,1253.0,21654,2.71,55095.41,4612.94,62177.25,60228.12,61332.62,1.0
Wyandot County Ohio,133600,1139,420,682,70.0,9036,2.4,20123.32,607.82,19884.53,18386.68,20318.69,0.0
