Fact,"Population Estimates, July 1 2021, (V2021)","Population estimates base, April 1, 2020, (V2021)","Population, percent change - April 1, 2020 (estimates base) to July 1, 2021, (V2021)","Population, Census, April 1, 2020","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2017-2021","Foreign born persons, percent, 2017-2021","Housing units, July 1, 2021, (V2021)","Owner-occupied housing unit rate, 2017-2021","Median value of owner-occupied housing units, 2017-2021","Median selected monthly owner costs -with a mortgage, 2017-2021","Median selected monthly owner costs -without a mortgage, 2017-2021","Median gross rent, 2017-2021","Building permits, 2021","Households, 2017-2021","Persons per household, 2017-2021","Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","Households with a computer, percent, 2017-2021","Households with a broadband Internet subscription, percent, 2017-2021","High school graduate or higher, percent of persons age 25 years+, 2017-2021","Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","With a disability, under age 65 years, percent, 2017-2021","Persons without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2017-2021","In civilian labor force, female, percent of population age 16 years+, 2017-2021","Total accommodation and food services sales, 2017 ($1,000)","Total health care and social assistance receipts/revenue, 2017 ($1,000)","Total transportation and warehousing receipts/revenue, 2017 ($1,000)","Total retail sales, 2017 ($1,000)","Total retail sales per capita, 2017","Mean travel time to work (minutes), workers age 16 years+, 2017-2021","Median household income (in 2021 dollars), 2017-2021","Per capita income in past 12 months (in 2021 dollars), 2017-2021","Persons in poverty, percent","Total employer establishments, 2020","Total employment, 2020","Total annual payroll, 2020 ($1,000)","Total employment, percent change, 2019-2020","Total nonemployer establishments, 2019","All employer firms, Reference year 2017","Men-owned employer firms, Reference year 2017","Women-owned employer firms, Reference year 2017","Minority-owned employer firms, Reference year 2017","Nonminority-owned employer firms, Reference year 2017","Veteran-owned employer firms, Reference year 2017","Nonveteran-owned employer firms, Reference year 2017","Population per square mile, 2020","Population per square mile, 2010","Land area in square miles, 2020","Land area in square miles, 2010",Banned or not
"Adams County, Ohio","27,542","27,477",0.20%,"27,477","28,550",6.20%,24.20%,18.50%,50.10%,96.80%,0.60%,0.60%,0.30%,Z,1.60%,1.10%,95.80%,"1,840",0.70%,"12,703",73.20%,"$118,300","$1,159",$403,$593,25,"10,163",2.68,89.90%,1.80%,86.10%,76.30%,83.70%,16.00%,16.10%,9.40%,51.50%,50.90%,"21,942","71,880","12,117","262,519","$9,461",36.1,"$44,467","$24,539",18.90%,385,"4,572","167,427",4.90%,"1,758",337,191,S,S,263,S,238,47.1,48.9,583.87,583.87,0
"Allen County, Ohio","101,670","102,206",-0.50%,"102,206","106,331",6.00%,23.20%,18.20%,49.20%,82.70%,12.70%,0.30%,0.90%,Z,3.40%,3.70%,79.80%,"6,098",1.80%,"44,707",66.90%,"$126,900","$1,126",$457,$758,226,"40,671",2.42,86.60%,3.10%,90.60%,85.30%,91.10%,19.10%,12.70%,8.40%,60.90%,57.80%,"221,898","1,427,497","206,952","1,678,243","$16,266",19.5,"$55,114","$28,671",15.30%,"2,286","45,012","1,983,272",-2.50%,"5,492","2,040","1,236",305,116,"1,551",85,"1,556",253.9,264.2,402.55,402.5,1
"Ashland County, Ohio","52,316","52,447",-0.20%,"52,447","53,139",5.60%,22.30%,19.50%,50.70%,96.50%,0.90%,0.30%,0.80%,0.10%,1.50%,1.60%,95.10%,"3,076",1.50%,"22,513",76.50%,"$143,100","$1,124",$432,$748,61,"20,531",2.46,86.30%,6.10%,88.50%,82.80%,89.70%,22.20%,9.90%,9.00%,62.30%,56.70%,"76,949","262,551","54,399","506,179","$9,431",24.2,"$58,168","$28,992",10.90%,"1,034","18,234","701,075",-3.60%,"3,453",847,482,S,S,638,S,610,124,125.6,422.99,422.95,0
"Ashtabula County, Ohio","97,337","97,574",-0.20%,"97,574","101,497",5.60%,22.00%,20.00%,49.20%,92.70%,3.90%,0.40%,0.50%,0.10%,2.50%,4.80%,88.60%,"7,158",1.60%,"46,355",71.60%,"$121,100","$1,086",$426,$735,168,"38,332",2.47,87.20%,6.70%,88.30%,82.20%,86.40%,15.10%,12.70%,10.00%,56.70%,52.70%,"153,176","416,926","75,411","1,017,387","$10,406",25.8,"$49,680","$26,777",15.70%,"1,806","24,464","913,850",0.10%,"6,189","1,628",929,279,73,"1,326",S,"1,243",139,144.6,702.07,701.93,0
"Athens County, Ohio","62,056","62,431",-0.60%,"62,431","64,757",3.70%,14.50%,14.30%,50.10%,91.30%,2.90%,0.40%,2.80%,0.10%,2.60%,2.00%,89.80%,"3,255",4.10%,"26,387",59.80%,"$150,800","$1,210",$464,$840,110,"22,381",2.41,70.00%,5.20%,90.60%,80.70%,90.90%,34.10%,12.90%,9.40%,55.30%,53.80%,"119,717","383,740","36,086","742,307","$11,148",21.9,"$47,061","$24,990",20.90%,"1,029","13,265","469,095",-2.20%,"3,438",806,S,S,33,610,56,565,124,128.6,503.64,503.6,0
"Auglaize County, Ohio","46,141","46,422",-0.60%,"46,422","45,949",6.10%,24.10%,19.00%,49.80%,96.90%,0.70%,0.30%,0.60%,0.10%,1.40%,1.90%,95.30%,"2,616",0.90%,"20,044",76.20%,"$150,200","$1,172",$438,$762,156,"18,872",2.43,90.20%,2.00%,91.70%,86.40%,93.70%,20.10%,7.60%,7.40%,67.30%,61.10%,"57,176","198,752","51,380","502,204","$10,976",19.1,"$69,315","$33,720",7.90%,975,"22,072","990,028",6.40%,"2,665",850,546,S,S,686,S,642,115.7,114.5,401.39,401.39,1
"Belmont County, Ohio","65,849","66,497",-1.00%,"66,497","70,400",4.70%,19.10%,21.70%,48.60%,93.20%,4.20%,0.20%,0.50%,Z,1.80%,1.20%,92.20%,"4,183",1.30%,"31,575",75.80%,"$116,700","$1,013",$416,$694,4,"25,388",2.49,92.00%,1.40%,84.40%,78.80%,91.50%,16.00%,11.50%,7.80%,54.40%,51.00%,"131,050","328,044","139,981","1,125,963","$16,540",25.1,"$54,191","$28,348",15.90%,"1,354","18,059","697,203",-4.70%,"3,144","1,081",613,S,S,827,S,803,125,132.3,532.13,532.13,0
"Brown County, Ohio","43,662","43,676",0.00%,"43,676","44,846",5.70%,22.90%,18.80%,50.00%,97.00%,1.00%,0.30%,0.40%,Z,1.40%,1.30%,96.00%,"2,909",0.40%,"19,454",73.50%,"$141,400","$1,146",$438,$742,122,"16,968",2.54,88.70%,0.90%,86.80%,77.80%,86.70%,14.60%,12.10%,8.10%,57.00%,54.10%,"38,686","73,651","22,238","334,266","$7,674",33.6,"$59,766","$28,658",16.80%,542,"5,434","163,396",-3.30%,"2,757",370,224,S,S,310,S,275,89.2,91.5,489.54,490.02,0
"Butler County, Ohio","390,234","390,357",0.00%,"390,357","368,130",5.80%,23.40%,15.50%,50.60%,82.70%,9.80%,0.30%,4.30%,0.20%,2.70%,5.40%,78.30%,"20,165",6.60%,"154,873",69.60%,"$190,500","$1,481",$533,$966,941,"142,881",2.64,86.00%,8.50%,93.90%,89.80%,91.50%,31.80%,8.40%,7.70%,64.00%,60.10%,"811,846","1,831,995","1,096,029","8,376,739","$22,001",25.1,"$72,281","$34,632",11.60%,"7,292","145,687","7,053,119",2.60%,"24,431","5,911","3,501",882,477,"4,434",373,"4,501",836.7,788.2,466.52,467.06,1
"Carroll County, Ohio","26,691","26,721",-0.10%,"26,721","28,836",5.20%,20.90%,22.20%,49.30%,97.00%,0.80%,0.40%,0.30%,Z,1.50%,1.50%,95.80%,"1,863",0.40%,"13,399",76.30%,"$142,600","$1,193",$430,$715,1,"11,300",2.34,92.40%,5.00%,88.60%,76.70%,89.70%,14.10%,12.20%,11.10%,57.10%,51.50%,"28,965","49,739","44,244","215,676","$7,892",28.6,"$55,954","$30,965",13.30%,453,"5,447","190,081",1.20%,"1,942",398,S,S,S,324,S,310,67.7,73.1,394.61,394.61,0
