ID,name,size,address,city,county,city,state,zipcode,Current Zoning,Vacancy,Buildingspace,Application_Entry Date,Vacancy_Description
1,Industrial Park at Center Hill and Este Avenue,60,Center Hill Road and Este Avenue in Winton Hills,Cincinnati,Hamilton,Cincinnati,OH,45202,Commercial/Industrial,VACANT,0,6-Jan-06,Vacant
2,Autolite,4.3,1205 Champlain Street,Toledo,Lucas,Toledo,OH,43604,Commercial/Industrial,VACANT,0,6-Jan-06,Vacant
3,Aeronca,17.8,1712 Germantown Road,Middletown,Butler,Middletown,OH,45042,Commercial/Industrial,VACANT,0,26-Jun-06,Vacant
4,NIBCO Foundry,24,1800 McCall Street,Dayton,Montgomery,Dayton,OH,45402,"Commercial/Industrial, Industrial",VACANT,0,12-Jul-06,Vacant
5,Forest Cascade,0.9,0 Forest Street,Elyria,Lorain,Elyria,OH,44035,Industrial,PARTIALLY_OCCUPIED,0,7-Aug-06,Partially Occupied
6,Tappan #1,13.27,208 Woodford Avenue,Elyria,Lorain,Elyria,OH,44035,Industrial,PARTIALLY_OCCUPIED,0,7-Aug-06,Partially Occupied
7,Monarch Aluminum Trinity Building,5.6,9203 Detroit Avenue,Cleveland,Cuyahoga,Cleveland,OH,44114,Commercial/Industrial,VACANT,0,26-Oct-06,Vacant
8,"Cleveland Asphalt Plant, Former",2.7,2900 West 3rd Street,Cleveland,Cuyahoga,Cleveland,OH,44114,Industrial,VACANT,-,26-Dec-06,Vacant
9,Techcenter South,45,727 East Jenkins Avenue,Columbus,Franklin,Columbus,OH,43215,"Commercial, Commercial/Industrial, Industrial, Retail",PARTIALLY_OCCUPIED,1300000,7-Mar-07,Partially Occupied
10,MetroWest,18.68,southwest corner of Gest & Evans Streets,Cincinnati,Hamilton,Cincinnati,OH,45202,Commercial/Industrial,PARTIALLY_OCCUPIED,250000,19-Mar-07,Partially Occupied
11,Gorge-Prospect Overlook Bridge Edge,0.86,Water Street,Cuyahoga Falls,Summit,Cuyahoga Falls,OH,44221,Industrial,VACANT,0,21-Mar-07,Vacant
12,"University of Dayton Research, Education, & Development Initiative",26.45,1600 Brown Street,Dayton,Montgomery,Dayton,OH,45402,-,-,0,22-Mar-07,-
13,CF Terminal,74.55,2615 Brecksville Road,Richfield,Summit,Richfield,OH,44286,Commercial/Industrial,VACANT,0,30-Mar-07,Vacant
14,Middletown Regional Hospital,16.6899,105 McKnight Drive,Middletown,Butler,Middletown,OH,45011,Residential,PARTIALLY_OCCUPIED,0,19-Apr-07,Partially Occupied
15,Morgana East,5.1,3570 East 71st Street,Cleveland,Cuyahoga,Cleveland,OH,44114,-,-,0,23-Apr-07,-
16,Keller Building,0.3663,409 West Water Street,Sandusky,Erie,Sandusky,OH,44870,-,VACANT,0,14-Jun-07,Vacant
17,Bayfront Urban Revitalization,9.69,611 Shoreline Drive,Sandusky,Erie,Sandusky,OH,44870,-,-,0,14-Jun-07,-
18,"Grandview Yard, Former Big Bear Warehouse Redevelopment",23.812,851 West Third Avenue,Grandview Heights,Franklin,Grandview Heights,OH,432123469,M1 - Commercial/Industrial,VACANT,0,14-Jul-09,Vacant
19,Jaeger Union Tools,7.61,500 & 560 Nationwide Boulevard,Columbus,Franklin,Columbus,OH,43215,Industrial,PARTIALLY_OCCUPIED,0,15-May-08,Partially Occupied
