,Bachelor's degree or higher of persons age 25 years+,"With a disability, under age 65 years","Persons without health insurance, under age 65 years","In civilian labor force, total of population age 16 years+","In civilian labor force, female of population age 16 years+","Total retail sales per capita, 2017","Mean travel time to work (minutes), workers age 16 years+",Median household income (in 2021 dollars),Per capita income in past 12 months (in 2021 dollars),Persons in poverty,"Total employer establishments, 2020","Total employment, 2020","Total annual payroll, 2020 ($1,000)","Population per square mile, 2020","Land area in square miles, 2020",Banned or not,Fact
0,4406.72,4434.262,2588.9480000000003,14184.13,14018.878,9461,36.1,44467,24539,5205.438,385,4572,167427,47.1,583.87,0.0,Adams County Ohio
1,19418.97,12912.09,8540.28,61917.03,58765.26,16266,19.5,55114,28671,15555.51,2286,45012,1983272,253.9,402.55,1.0,Allen County Ohio
2,11614.152,5179.284000000001,4708.44,32592.868,29663.172000000002,9431,24.2,58168,28992,5702.444,1034,18234,701075,124.0,422.99,0.0,Ashland County Ohio
3,14697.886999999999,12361.798999999999,9733.7,55190.079000000005,51296.599,10406,25.8,49680,26777,15281.909,1806,24464,913850,139.0,702.07,0.0,Ashtabula County Ohio
4,21161.096,8005.224,5833.264,34316.968,33386.128,11148,21.9,47061,24990,12969.704,1029,13265,469095,124.0,503.64,0.0,Athens County Ohio
5,9274.341,3506.716,3414.434,31052.892999999996,28192.151,10976,19.1,69315,33720,3645.139,975,22072,990028,115.7,401.39,1.0,Auglaize County Ohio
6,10535.84,7572.635,5136.222,35821.856,33582.99,16540,25.1,54191,28348,10469.991,1354,18059,697203,125.0,532.13,0.0,Belmont County Ohio
7,6374.651999999999,5283.102,3536.6220000000003,24887.34,23621.142000000003,7674,33.6,59766,28658,7335.215999999999,542,5434,163396,89.2,489.54,0.0,Brown County Ohio
8,124094.41200000001,32779.656,30048.018000000004,249749.76,234530.63400000002,22001,25.1,72281,34632,45267.14399999999,7292,145687,7053119,836.7,466.52,1.0,Butler County Ohio
9,3763.4309999999996,3256.3019999999997,2962.7009999999996,15240.561000000002,13745.865,7892,28.6,55954,30965,3549.9030000000002,453,5447,190081,67.7,394.61,0.0,Carroll County Ohio
10,6462.732999999999,4256.89,3095.92,24186.875,22600.216,7976,25.6,62865,30090,4102.094,575,9581,408405,90.2,428.99,0.0,Champaign County Ohio
11,25634.637,16954.125,10986.273000000001,81244.167,74326.88399999999,10483,22.6,54869,28679,21701.28,2167,38457,1500960,342.7,396.88,0.0,Clark County Ohio
12,61844.39,23479.904,17819.57,137315.51,125575.55799999999,14745,28.0,73013,38260,19915.99,3614,51928,2297661,460.9,452.56,0.0,Clermont County Ohio
13,8442.804,5082.4839999999995,3570.34,26378.512,25118.391999999996,11436,25.8,57409,29651,5040.48,702,16444,845042,102.8,408.73,0.0,Clinton County Ohio
14,15905.67,12258.51,9725.76,58658.49,55416.57,11913,25.1,51664,28538,16918.77,1909,26679,925485,191.5,531.92,0.0,Columbiana County Ohio
15,6261.678000000001,3954.744,4027.98,21165.203999999998,19627.248,9335,24.7,49297,24901,5089.902,609,8121,319800,64.9,563.99,0.0,Coshocton County Ohio
16,6555.378,5135.742,3757.86,25094.154,22881.191999999995,8634,24.1,48449,27866,5636.79,767,12093,450310,104.6,401.79,1.0,Crawford County Ohio
17,429789.12799999997,136183.18300000002,93704.025,792111.358,750881.587,13560,24.0,55109,36321,202400.694,31708,673763,38514352,2766.4,457.21,0.0,Cuyahoga County Ohio
