,Fact,"Population Estimates, July 1 2021, (V2021)","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2017-2021","Foreign born persons, percent, 2017-2021","Housing units, July 1, 2021, (V2021)","Owner-occupied housing unit rate, 2017-2021","Median value of owner-occupied housing units, 2017-2021","Median selected monthly owner costs -with a mortgage, 2017-2021","Median selected monthly owner costs -without a mortgage, 2017-2021","Median gross rent, 2017-2021","Building permits, 2021","Households, 2017-2021","Persons per household, 2017-2021","Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","Households with a computer, percent, 2017-2021","Households with a broadband Internet subscription, percent, 2017-2021","High school graduate or higher, percent of persons age 25 years+, 2017-2021","Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","With a disability, under age 65 years, percent, 2017-2021","Persons without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2017-2021","In civilian labor force, female, percent of population age 16 years+, 2017-2021","Total retail sales per capita, 2017","Mean travel time to work (minutes), workers age 16 years+, 2017-2021","Median household income (in 2021 dollars), 2017-2021","Per capita income in past 12 months (in 2021 dollars), 2017-2021","Persons in poverty, percent","Total employer establishments, 2020","Total employment, 2020","Total annual payroll, 2020 ($1,000)","Population per square mile, 2020","Land area in square miles, 2020",Banned or not
0,Adams County Ohio,27542,1707.604,6665.164000000001,5095.27,13798.542,26660.656000000003,165.252,165.252,82.626,,440.672,302.962,26385.236,1840,192.79399999999998,12703,73.2,118300,1159,403,593,25.0,10163,2.68,24760.258,495.756,23713.661999999997,21014.546000000002,23052.654,4406.72,4434.262,2588.9480000000003,14184.13,14018.878,9461,36.1,44467,24539,5205.438,385,4572,167427,47.1,583.87,0.0
1,Allen County Ohio,101670,6100.2,23587.44,18503.94,50021.64,84081.09,12912.09,305.01,915.03,,3456.78,3761.79,81132.66,6098,1830.06,44707,66.9,126900,1126,457,758,226.0,40671,2.42,88046.22,3151.77,92113.02,86724.51,92621.37,19418.97,12912.09,8540.28,61917.03,58765.26,16266,19.5,55114,28671,15555.51,2286,45012,1983272,253.9,402.55,1.0
2,Ashland County Ohio,52316,2929.696,11666.468,10201.62,26524.212000000003,50484.94,470.844,156.94799999999998,418.528,52.316,784.74,837.056,49752.515999999996,3076,784.74,22513,76.5,143100,1124,432,748,61.0,20531,2.46,45148.708,3191.276,46299.66,43317.648,46927.452000000005,11614.152,5179.284000000001,4708.44,32592.868,29663.172000000002,9431,24.2,58168,28992,5702.444,1034,18234,701075,124.0,422.99,0.0
3,Ashtabula County Ohio,97337,5450.871999999999,21414.14,19467.4,47889.804000000004,90231.399,3796.143,389.348,486.685,97.337,2433.425,4672.1759999999995,86240.582,7158,1557.392,46355,71.6,121100,1086,426,735,168.0,38332,2.47,84877.864,6521.579000000001,85948.571,80011.01400000001,84099.168,14697.886999999999,12361.798999999999,9733.7,55190.079000000005,51296.599,10406,25.8,49680,26777,15281.909,1806,24464,913850,139.0,702.07,0.0
4,Athens County Ohio,62056,2296.072,8998.12,8874.008,31090.056,56657.128,1799.624,248.22400000000002,1737.568,62.056000000000004,1613.4560000000001,1241.12,55726.288,3255,2544.296,26387,59.8,150800,1210,464,840,110.0,22381,2.41,43439.2,3226.9120000000003,56222.736,50079.192,56408.904,21161.096,8005.224,5833.264,34316.968,33386.128,11148,21.9,47061,24990,12969.704,1029,13265,469095,124.0,503.64,0.0
5,Auglaize County Ohio,46141,2814.6009999999997,11119.981000000002,8766.79,22978.217999999997,44710.629,322.98699999999997,138.423,276.846,46.141000000000005,645.9739999999999,876.679,43972.373,2616,415.269,20044,76.2,150200,1172,438,762,156.0,18872,2.43,41619.182,922.82,42311.297,39865.824,43234.117,9274.341,3506.716,3414.434,31052.892999999996,28192.151,10976,19.1,69315,33720,3645.139,975,22072,990028,115.7,401.39,1.0
6,Belmont County Ohio,65849,3094.903,12577.159000000001,14289.233,32002.613999999998,61371.268,2765.658,131.698,329.245,,1185.282,790.188,60712.778,4183,856.0369999999999,31575,75.8,116700,1013,416,694,4.0,25388,2.49,60581.08,921.886,55576.556000000004,51889.012,60251.835,10535.84,7572.635,5136.222,35821.856,33582.99,16540,25.1,54191,28348,10469.991,1354,18059,697203,125.0,532.13,0.0
7,Brown County Ohio,43662,2488.734,9998.598,8208.456,21831.0,42352.14,436.62,130.986,174.648,,611.2679999999999,567.606,41915.52,2909,174.648,19454,73.5,141400,1146,438,742,122.0,16968,2.54,38728.193999999996,392.958,37898.616,33969.036,37854.954,6374.651999999999,5283.102,3536.6220000000003,24887.34,23621.142000000003,7674,33.6,59766,28658,7335.215999999999,542,5434,163396,89.2,489.54,0.0
8,Butler County Ohio,390234,22633.571999999996,91314.756,60486.27,197458.404,322723.518,38242.932,1170.702,16780.061999999998,780.4680000000001,10536.318000000001,21072.636000000002,305553.222,20165,25755.444,154873,69.6,190500,1481,533,966,941.0,142881,2.64,335601.24,33169.89,366429.726,350430.132,357064.11,124094.41200000001,32779.656,30048.018000000004,249749.76,234530.63400000002,22001,25.1,72281,34632,45267.14399999999,7292,145687,7053119,836.7,466.52,1.0
9,Carroll County Ohio,26691,1387.932,5578.418999999999,5925.401999999999,13158.662999999999,25890.27,213.52800000000002,106.76400000000001,80.073,,400.365,400.365,25569.978,1863,106.76400000000001,13399,76.3,142600,1193,430,715,1.0,11300,2.34,24662.484000000004,1334.55,23648.225999999995,20471.997000000003,23941.827,3763.4309999999996,3256.3019999999997,2962.7009999999996,15240.561000000002,13745.865,7892,28.6,55954,30965,3549.9030000000002,453,5447,190081,67.7,394.61,0.0
