,Owner-occupied housing unit rate,Median value of owner-occupied housing units,Median selected monthly owner costs -with a mortgage,Median selected monthly owner costs -without a mortgage,Median gross rent,"Building permits, 2021",Households,Persons per household,Living in same house 1 year ago of persons age 1 year+,Language other than English spoken at home of persons age 5 years+,Households with a computer,Households with a broadband Internet subscription,Fact,Banned or not
0,73.2,118300,1159,403,593,25.0,10163,2.68,24760.258,495.756,23713.661999999997,21014.546000000002,Adams County Ohio,0.0
1,66.9,126900,1126,457,758,226.0,40671,2.42,88046.22,3151.77,92113.02,86724.51,Allen County Ohio,1.0
2,76.5,143100,1124,432,748,61.0,20531,2.46,45148.708,3191.276,46299.66,43317.648,Ashland County Ohio,0.0
3,71.6,121100,1086,426,735,168.0,38332,2.47,84877.864,6521.579000000001,85948.571,80011.01400000001,Ashtabula County Ohio,0.0
4,59.8,150800,1210,464,840,110.0,22381,2.41,43439.2,3226.9120000000003,56222.736,50079.192,Athens County Ohio,0.0
5,76.2,150200,1172,438,762,156.0,18872,2.43,41619.182,922.82,42311.297,39865.824,Auglaize County Ohio,1.0
6,75.8,116700,1013,416,694,4.0,25388,2.49,60581.08,921.886,55576.556000000004,51889.012,Belmont County Ohio,0.0
7,73.5,141400,1146,438,742,122.0,16968,2.54,38728.193999999996,392.958,37898.616,33969.036,Brown County Ohio,0.0
8,69.6,190500,1481,533,966,941.0,142881,2.64,335601.24,33169.89,366429.726,350430.132,Butler County Ohio,1.0
9,76.3,142600,1193,430,715,1.0,11300,2.34,24662.484000000004,1334.55,23648.225999999995,20471.997000000003,Carroll County Ohio,0.0
10,74.8,146700,1183,531,779,51.0,15506,2.45,33784.227,425.689,35990.07,33358.538,Champaign County Ohio,0.0
11,68.1,127400,1111,458,755,199.0,55124,2.41,115559.31599999999,4340.256,124917.99299999999,119085.774,Clark County Ohio,0.0
12,73.2,190600,1443,550,912,1224.0,81785,2.52,184275.318,6498.902000000001,196224.91199999998,187419.948,Clermont County Ohio,0.0
13,69.2,149500,1193,465,774,88.0,16548,2.46,36291.456,1092.104,38601.676,36123.44,Clinton County Ohio,0.0
14,73.6,107300,1034,392,664,63.0,41313,2.39,90064.59,2026.2,89659.35,83884.68,Columbiana County Ohio,0.0
15,73.0,113800,1000,396,645,5.0,14517,2.49,32480.166,3332.238,30832.356,27902.916,Coshocton County Ohio,0.0
16,69.1,98600,931,399,695,10.0,18028,2.3,36367.734,1127.358,37829.123999999996,35198.621999999996,Crawford County Ohio,1.0
17,58.2,146800,1380,580,875,784.0,551267,2.24,1071974.0459999999,151175.827,1134443.396,1048235.6930000001,Cuyahoga County Ohio,0.0
18,71.9,134200,1118,422,682,63.0,20826,2.46,46127.71800000001,773.955,45508.554000000004,42722.316,Darke County Ohio,0.0
19,77.9,131400,1083,460,756,46.0,15075,2.51,33986.304,2021.6319999999998,34749.184,32231.68,Defiance County Ohio,0.0
20,79.1,336600,2205,833,1202,2359.0,76549,2.73,195134.16,20970.3,216104.46,210806.7,Delaware County Ohio,0.0
21,69.7,152800,1195,497,814,289.0,31984,2.32,66917.68800000001,2544.968,68414.728,61079.23199999999,Erie County Ohio,0.0
22,75.1,213500,1539,561,963,875.0,57841,2.67,142380.576,8536.392,150272.712,140931.0,Fairfield County Ohio,0.0
23,64.4,125000,1090,437,729,33.0,11471,2.49,25552.904000000002,433.59,26131.024000000005,24194.322,Fayette County Ohio,0.0
24,53.6,203200,1549,632,1070,6652.0,537109,2.39,1086202.308,187640.788,1257986.128,1201165.3260000001,Franklin County Ohio,0.0
25,80.5,145600,1198,465,768,31.0,16763,2.52,38926.65,1698.0,39181.35,36973.95,Fulton County Ohio,0.0
26,76.7,120500,1200,435,718,14.0,11292,2.53,26533.78,1049.688,24171.982000000004,21693.552000000003,Gallia County Ohio,0.0
27,87.2,259900,1757,652,895,191.0,35249,2.68,88302.06,11754.495,86295.195,81612.51000000001,Geauga County Ohio,0.0
28,66.8,190200,1510,582,938,685.0,66279,2.39,141466.08,9936.308,158980.928,152749.684,Greene County Ohio,0.0
29,71.9,126500,1072,425,731,26.0,16136,2.36,33539.412,1646.3410000000001,33615.986000000004,30093.582,Guernsey County Ohio,0.0
30,58.7,172800,1460,604,875,1922.0,345878,2.34,696435.177,61134.28600000001,765830.853,730306.876,Hamilton County Ohio,0.0
31,69.6,157300,1225,480,792,121.0,31164,2.35,64353.472,3882.112,69952.672,65697.28,Hancock County Ohio,1.0
32,71.6,114600,1106,408,710,24.0,11557,2.46,25997.229000000003,2143.47,27497.658,25201.083,Hardin County Ohio,0.0
33,77.3,101600,962,398,608,,5748,2.5,13521.518,579.08,12059.340999999999,11335.490999999998,Harrison County Ohio,0.0
34,78.3,138100,1141,481,785,19.0,11040,2.46,25004.504,1156.596,25252.346,24095.75,Henry County Ohio,0.0
35,71.6,126200,1092,396,704,71.0,16526,2.58,38628.414,1387.3280000000002,37241.086,33555.996,Highland County Ohio,0.0
36,78.3,144000,1180,446,701,12.0,11240,2.47,25680.658000000003,533.843,25483.979,23517.189,Hocking County Ohio,0.0
37,77.7,231200,1348,455,700,4.0,13200,3.28,40817.862,21914.145,30414.177000000003,26739.683999999997,Holmes County Ohio,0.0
38,72.0,133600,1110,452,750,142.0,23288,2.48,52238.465,2217.946,53055.60300000001,48678.07800000001,Huron County Ohio,0.0
39,75.0,111400,1106,421,685,51.0,12361,2.6,29650.032000000003,780.2639999999999,28252.059000000005,25716.200999999997,Jackson County Ohio,0.0
40,70.9,102800,1055,429,694,6.0,26776,2.37,58180.522000000004,1295.78,55070.65,52997.402,Jefferson County Ohio,0.0
41,72.6,168700,1267,467,826,351.0,22908,2.57,55412.25699999999,3270.6440000000002,57299.166999999994,53651.140999999996,Knox County Ohio,1.0
42,74.5,166200,1349,560,952,775.0,98217,2.34,206732.49299999996,19025.886,216013.41299999997,207892.60799999998,Lake County Ohio,0.0
43,72.1,112200,1090,435,759,16.0,22608,2.56,52045.17,631.8950000000001,49862.26,45841.11,Lawrence County Ohio,0.0
44,73.4,195100,1472,527,894,363.0,66342,2.62,157490.07299999997,8118.045,169035.737,162000.098,Licking County Ohio,0.0
45,75.8,148600,1167,489,740,126.0,18928,2.41,40787.009999999995,1242.9450000000002,42628.41,40418.73,Logan County Ohio,1.0
46,72.5,164600,1368,542,821,1127.0,123500,2.45,282141.93,21144.865,293187.755,260365.875,Lorain County Ohio,0.0
47,61.2,127900,1261,499,803,460.0,179358,2.35,367816.68700000003,27468.224000000002,394855.72,369962.64200000005,Lucas County Ohio,0.0
48,73.8,173400,1372,508,870,89.0,15181,2.55,37772.486,1864.2120000000002,40701.962,38793.364,Madison County Ohio,0.0
49,69.8,114600,1120,438,706,194.0,97293,2.29,200457.608,14059.244,203405.51400000002,191613.89,Mahoning County Ohio,0.0
50,67.3,114800,1074,426,782,49.0,24251,2.47,55693.223,3003.386,59545.392,55627.932,Marion County Ohio,0.0
51,79.8,219900,1540,569,958,463.0,71360,2.52,166613.72,7872.956,174852.86,164782.8,Medina County Ohio,1.0
52,77.5,100300,1010,382,639,6.0,8719,2.54,19932.296000000002,264.58799999999997,18366.817,15742.986,Meigs County Ohio,0.0
53,79.6,169500,1197,473,679,85.0,15923,2.61,37993.481999999996,888.489,38966.589,37697.318999999996,Mercer County Ohio,0.0
54,73.0,165600,1238,478,832,307.0,43279,2.47,96261.58399999999,4261.295999999999,101615.52,97026.43199999999,Miami County Ohio,0.0
55,78.6,115500,980,366,584,1.0,5565,2.4,12475.944,226.593,11129.715,9943.434,Monroe County Ohio,0.0
56,62.0,133400,1255,515,849,1047.0,226199,2.29,445818.88,33222.08,492972.8,467788.32,Montgomery County Ohio,0.0
57,77.1,103500,993,361,641,55.0,5629,2.45,12519.03,164.18399999999997,11424.47,10165.726,Morgan County Ohio,0.0
58,80.6,163300,1307,461,851,150.0,13048,2.65,32198.315999999995,2284.815,32233.467,29737.745999999996,Morrow County Ohio,0.0
59,70.3,132800,1140,411,719,21.0,33970,2.48,75952.632,2160.2,76298.264,72755.53600000001,Muskingum County Ohio,0.0
60,79.3,113500,1044,368,652,25.0,4608,2.58,12517.408000000001,567.04,11340.8,10376.832,Noble County Ohio,0.0
61,81.0,160500,1284,467,774,172.0,17930,2.21,36614.952,1122.912,36975.888000000006,33326.424,Ottawa County Ohio,0.0
