,Ohio Counties,Real GDP (2018),Real GDP (2019),Real GDP (2020),Real GDP (2021),Real GDP Rank In State (2021),Percent change (2019),Percent change (2020),Percent change (2021,Percent change Rank In State (2021),Banned or not
3,Adams,"872,694","675,829","681,273","717,219",80,-22.6,0.8,5.3,52,0.0
4,Allen,"7,597,930","7,558,271","7,253,048","7,604,646",16,-0.5,-4.0,4.8,57,1.0
5,Ashland,"1,571,586","1,579,051","1,606,240","1,685,073",61,0.5,1.7,4.9,55,0.0
6,Ashtabula,"2,841,614","2,855,855","2,734,051","2,876,033",39,0.5,-4.3,5.2,53,0.0
7,Athens,"1,883,444","1,929,652","1,829,060","1,895,522",58,2.5,-5.2,3.6,72,0.0
8,Auglaize,"2,185,276","2,136,423","2,062,716","2,193,241",45,-2.2,-3.5,6.3,36,1.0
9,Belmont,"3,345,997","3,533,489","3,808,619","3,217,937",35,5.6,7.8,-15.5,86,0.0
10,Brown,"823,344","801,365","770,118","817,960",79,-2.7,-3.9,6.2,37,0.0
11,Butler,"19,710,628","20,353,047","19,408,039","20,241,271",7,3.3,-4.6,4.3,68,1.0
12,Carroll,"1,631,892","1,752,579","1,713,441","1,596,915",64,7.4,-2.2,-6.8,84,0.0
13,Champaign,"1,067,517","1,057,447","1,079,359","1,112,904",74,-0.9,2.1,3.1,75,0.0
14,Clark,"4,153,828","4,195,038","3,972,727","4,255,388",27,1,-5.3,7.1,25,0.0
15,Clermont,"7,837,331","8,033,416","7,912,843","8,189,835",15,2.5,-1.5,3.5,73,0.0
16,Clinton,"2,016,907","2,010,581","2,001,921","2,148,275",47,-0.3,-0.4,7.3,21,0.0
17,Columbiana,"2,807,256","2,862,612","2,805,422","3,004,558",37,2,-2.0,7.1,27,0.0
18,Coshocton,"1,382,303","1,261,945","1,172,213","1,117,798",73,-8.7,-7.1,-4.6,81,0.0
19,Crawford,"1,169,642","1,231,771","1,179,018","1,262,709",70,5.3,-4.3,7.1,26,1.0
20,Cuyahoga,"86,050,538","88,491,335","84,865,334","90,494,428",2,2.8,-4.1,6.6,29,0.0
21,Darke,"2,205,316","1,900,043","1,961,729","2,088,364",49,-13.8,3.2,6.5,33,0.0
22,Defiance,"1,566,260","1,600,709","1,518,794","1,599,288",63,2.2,-5.1,5.3,51,0.0
23,Delaware,"10,822,395","11,694,974","11,436,611","12,478,154",9,8.1,-2.2,9.1,7,0.0
24,Erie,"4,641,932","4,146,092","3,407,093","3,819,209",30,-10.7,-17.8,12.1,2,0.0
25,Fairfield,"3,960,439","4,174,456","4,163,881","4,477,361",24,5.4,-0.3,7.5,18,0.0
26,Fayette,"2,312,107","2,019,034","2,027,077","2,091,219",48,-12.7,0.4,3.2,74,0.0
27,Franklin,"86,987,322","88,930,048","87,433,710","94,056,835",1,2.2,-1.7,7.6,17,0.0
28,Fulton,"1,849,054","1,843,788","1,839,920","1,973,548",51,-0.3,-0.2,7.3,23,0.0
29,Gallia,"2,074,915","1,983,268","1,809,016","1,920,843",57,-4.4,-8.8,6.2,38,0.0
30,Geauga,"4,016,225","4,028,412","3,790,335","4,018,344",29,0.3,-5.9,6.0,43,0.0
31,Greene,"8,890,627","9,242,052","9,290,243","9,728,549",13,4,0.5,4.7,62,0.0
32,Guernsey,"2,054,325","2,189,315","2,151,179","2,010,452",50,6.6,-1.7,-6.5,83,0.0
33,Hamilton,"67,089,575","70,817,027","69,094,486","73,246,499",3,5.6,-2.4,6.0,44,0.0
34,Hancock,"4,951,214","4,898,906","4,820,445","5,192,645",23,-1.1,-1.6,7.7,14,1.0
35,Hardin,"888,149","839,639","841,364","906,194",78,-5.5,0.2,7.7,15,0.0
36,Harrison,"1,138,664","1,340,752","1,658,426","1,311,468",68,17.7,23.7,-20.9,87,0.0
37,Henry,"1,123,859","1,327,987","1,323,026","1,443,401",65,18.2,-0.4,9.1,8,0.0
38,Highland,"1,105,453","1,175,565","1,241,654","1,322,456",67,6.3,5.6,6.5,30,0.0
39,Hocking,"577,643","592,486","569,744","604,463",83,2.6,-3.8,6.1,39,0.0
40,Holmes,"2,301,966","2,325,666","2,307,776","2,410,053",43,1,-0.8,4.4,65,0.0
41,Huron,"2,093,840","2,068,155","2,051,798","2,181,710",46,-1.2,-0.8,6.3,35,0.0
42,Jackson,"910,812","917,187","937,947","957,055",77,0.7,2.3,2.0,78,0.0
43,Jefferson,"3,064,767","3,384,457","3,590,592","3,400,044",33,10.4,6.1,-5.3,82,0.0
44,Knox,"1,996,441","1,979,478","1,853,854","1,940,684",54,-0.8,-6.3,4.7,63,1.0
45,Lake,"10,302,991","10,516,403","10,010,263","10,486,828",11,2.1,-4.8,4.8,61,0.0
