,Fact,Population EstimatesJuly 1 2021(),Persons under 5 years,Persons under 18 years,Persons 65 years and over,Female persons,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Two or More Races,Hispanic or Latino,White alonenot Hispanic or Latino,Veterans2017-2021,Foreign born persons2017-2021,Banned or not
0,Adams County Ohio,27542,1707.604,6665.164000000001,5095.27,13798.542,26660.656000000003,165.252,165.252,82.626,,440.672,302.962,26385.236,1840,192.79399999999998,0.0
1,Allen County Ohio,101670,6100.2,23587.44,18503.94,50021.64,84081.09,12912.09,305.01,915.03,,3456.78,3761.79,81132.66,6098,1830.06,1.0
2,Ashland County Ohio,52316,2929.696,11666.468,10201.62,26524.212000000003,50484.94,470.844,156.94799999999998,418.528,52.316,784.74,837.056,49752.515999999996,3076,784.74,0.0
3,Ashtabula County Ohio,97337,5450.871999999999,21414.14,19467.4,47889.804000000004,90231.399,3796.143,389.348,486.685,97.337,2433.425,4672.1759999999995,86240.582,7158,1557.392,0.0
4,Athens County Ohio,62056,2296.072,8998.12,8874.008,31090.056,56657.128,1799.624,248.22400000000002,1737.568,62.056000000000004,1613.4560000000001,1241.12,55726.288,3255,2544.296,0.0
5,Auglaize County Ohio,46141,2814.6009999999997,11119.981000000002,8766.79,22978.217999999997,44710.629,322.98699999999997,138.423,276.846,46.141000000000005,645.9739999999999,876.679,43972.373,2616,415.269,1.0
6,Belmont County Ohio,65849,3094.903,12577.159000000001,14289.233,32002.613999999998,61371.268,2765.658,131.698,329.245,,1185.282,790.188,60712.778,4183,856.0369999999999,0.0
7,Brown County Ohio,43662,2488.734,9998.598,8208.456,21831.0,42352.14,436.62,130.986,174.648,,611.2679999999999,567.606,41915.52,2909,174.648,0.0
8,Butler County Ohio,390234,22633.571999999996,91314.756,60486.27,197458.404,322723.518,38242.932,1170.702,16780.061999999998,780.4680000000001,10536.318000000001,21072.636000000002,305553.222,20165,25755.444,1.0
9,Carroll County Ohio,26691,1387.932,5578.418999999999,5925.401999999999,13158.662999999999,25890.27,213.52800000000002,106.76400000000001,80.073,,400.365,400.365,25569.978,1863,106.76400000000001,0.0
10,Champaign County Ohio,38699,2089.746,8513.78,7236.713,19349.5,36531.856,851.378,193.495,193.495,,928.776,696.582,35951.371,2547,464.388,0.0
11,Clark County Ohio,135633,7866.714,30517.425,26855.334,69308.463,117186.91200000001,12342.603000000001,542.532,949.4309999999999,135.633,4475.888999999999,5154.054,112982.289,10606,2441.394,0.0
12,Clermont County Ohio,209642,11739.952,47169.45,37106.634,105659.56799999998,198321.332,3983.198,419.284,2934.988,209.642,3563.9139999999998,4612.124,194338.13400000002,12422,4612.124,0.0
13,Clinton County Ohio,42004,2394.228,9534.908,7560.72,21170.016,39567.768000000004,924.0880000000001,168.01600000000002,252.02399999999997,42.004000000000005,1050.1,840.08,38937.708000000006,3087,1008.0959999999999,0.0
14,Columbiana County Ohio,101310,5065.5,20667.239999999998,21680.34,49641.9,96244.5,2634.06,303.93,303.93,,1823.58,2127.51,94522.23,8199,911.79,0.0
15,Coshocton County Ohio,36618,2270.3160000000003,8824.938,7286.982,18382.236,35263.134,439.416,109.854,146.472,36.618,585.888,476.034,34896.954,2160,219.708,0.0
16,Crawford County Ohio,41754,2296.47,9144.126,8893.602,21211.031999999996,40250.856,501.04799999999994,125.26199999999999,250.52399999999997,41.754000000000005,542.802,793.3259999999999,39582.791999999994,2472,626.31,1.0
17,Cuyahoga County Ohio,1249387,67466.898,257373.72200000004,237383.53,649681.24,789612.584,381063.035,3748.1609999999996,43728.545,,31234.675,82459.54199999999,724644.46,62153,93704.025,0.0
18,Darke County Ohio,51597,3147.4169999999995,12383.28,10319.4,25798.5,50100.68699999999,361.1789999999999,103.19400000000002,257.985,51.59700000000001,722.3579999999998,928.7460000000001,49275.135,2808,257.985,0.0
19,Defiance County Ohio,38144,2097.92,8696.832,7438.08,19033.856,36236.8,877.312,190.72,190.72,38.144,610.304,4119.552,32613.12,2236,762.88,0.0
20,Delaware County Ohio,220740,12582.18,55847.22,32228.04,110370.0,186966.78,9712.560000000001,441.48,18762.9,220.74,4856.280000000001,6622.2,181448.28,9675,17659.2,0.0
21,Erie County Ohio,74852,3892.304,15045.252000000002,17141.107999999997,38099.668,64597.276,6736.68,224.55599999999998,598.816,74.852,2619.82,3592.8959999999997,61678.04800000001,5281,1272.484,0.0
22,Fairfield County Ohio,161064,9341.712,38655.36,25931.304000000004,80532.0,137065.46399999998,15784.272000000003,483.19199999999995,3865.5359999999996,161.06400000000002,3865.5359999999996,4187.664000000001,134005.24800000002,9315,6603.623999999999,0.0
23,Fayette County Ohio,28906,1676.5479999999998,6850.722,5260.892,14684.247999999998,27027.11,751.556,86.71799999999999,346.87199999999996,,693.7439999999999,693.7439999999999,26477.895999999997,1424,549.2139999999999,0.0
24,Franklin County Ohio,1321414,87213.32400000001,307889.462,167819.578,672599.7259999999,869490.412,322425.016,3964.242,77963.426,1321.414,47570.904,81927.668,803419.712,59227,151962.61,0.0
25,Fulton County Ohio,42450,2419.65,9933.3,8065.5,21225.0,40964.25,424.5,212.25,212.25,42.45,636.75,3947.8500000000004,37398.45,2405,721.65,0.0
26,Gallia County Ohio,29158,1778.638,6793.814,5685.81,14666.473999999998,27466.836,699.7919999999999,145.79,204.106,87.47399999999999,583.16,408.212,27146.097999999998,1342,320.73800000000006,0.0
27,Geauga County Ohio,95565,5064.945,21502.125,20546.475,47591.37,92411.355,1242.345,191.13,668.955,,1051.2150000000001,1720.17,90882.315,4731,2389.125,0.0
28,Greene County Ohio,168412,8925.836,34861.284,30314.16,84711.23599999999,144329.084,12462.488000000001,505.236,5220.772,168.412,5726.007999999999,5389.184,139950.372,15148,8252.188,0.0
29,Guernsey County Ohio,38287,2144.0719999999997,8461.427000000001,7772.2609999999995,19105.213,36525.798,650.879,153.14800000000002,191.435,,804.0269999999999,497.731,36104.641,2773,382.87,0.0
30,Hamilton County Ohio,826139,52046.757000000005,190011.97,133008.37900000002,424635.446,555991.5469999999,219752.97400000002,2478.417,24784.17,826.1390000000001,22305.753000000004,32219.421000000002,531207.377,39032,48742.20100000001,0.0
